id,host_id,host_name,host_since,host_response_rate,host_acceptance_rate,host_listings_count,neighbourhood_cleansed,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6564932,33811658,Subrena,5/20/15,1,0.94,1,"Near Southeast, Navy Yard",DC,20003,38.87995989,-77.00649063,Apartment,Entire home/apt,3,1,1,1,0,128,684,0,0,40,3,45,1,1125,5,18,37,301,9,6/6/15,9/18/15,100,10,10,10,10,10,10,2.25
3504621,112193,Jayne,4/22/10,1,1,1,"Near Southeast, Navy Yard",DC,20003,38.8770983,-77.00458358,Apartment,Entire home/apt,2,1,1,1,0,135,900,2500,150,95,1,0,6,1125,6,30,45,138,6,8/20/14,8/17/15,97,10,9,10,10,9,10,0.44
2237591,487346,Jack,4/5/11,0.8,0.8,1,"Near Southeast, Navy Yard",DC,20003,38.87961619,-77.00434209,House,Private room,2,1,1,1,0,90,425,1100,0,0,1,0,2,1125,0,22,52,327,6,5/25/14,9/12/15,97,10,9,10,10,10,10,0.36
4468217,23182731,M. Reese,10/31/14,0.5,0.8,1,"Near Southeast, Navy Yard",DC,20003,38.87834062,-77.00073849,Apartment,Entire home/apt,2,1,1,1,0,102,650,1850,100,49,2,0,5,31,5,30,60,335,6,12/14/14,8/8/15,88,10,9,9,10,10,10,0.61
8089814,42721155,Seth,8/27/15,1,1,1,"Near Southeast, Navy Yard",DC,20003,38.87837493,-77.00800168,Apartment,Entire home/apt,3,1,1,1,0,99,650,0,100,50,1,0,1,19,17,17,17,22,0,,,0,0,0,0,0,0,0,0
5759630,26806034,Darik,1/27/15,0,0,1,"Near Southeast, Navy Yard",DC,20003,38.87653674,-77.00623635,Apartment,Entire home/apt,2,1,1,1,0,195,0,0,0,0,1,0,1,1125,0,0,0,167,1,4/25/15,4/25/15,100,10,10,10,10,10,10,0.19
321642,1632216,Louisa,1/20/12,1,1,1,"Near Southeast, Navy Yard",DC,20003,38.88032417,-77.0019617,Apartment,Entire home/apt,4,1,1,2,0,160,800,2400,200,50,1,0,1,1125,12,42,72,347,59,5/19/12,9/18/15,92,9,9,10,10,10,9,1.44
7219322,33664909,Audrey,5/18/15,1,0.89,2,"Near Southeast, Navy Yard",DC,20003,38.88008663,-77.00731287,Apartment,Private room,2,1,1,1,0,95,800,2000,0,100,1,45,1,1125,16,16,16,287,1,8/2/15,8/2/15,80,10,10,10,10,10,8,0.48
7973221,42060546,Amy,8/20/15,0.33,1,1,"Near Southeast, Navy Yard",DC,20003,38.87861844,-77.00598247,Apartment,Entire home/apt,2,1,1,1,0,120,0,0,0,0,1,0,1,1125,2,11,19,294,0,,,0,0,0,0,0,0,0,0
8191407,1730491,Renny,2/10/12,1,0.63,2,"Near Southeast, Navy Yard",DC,20003,38.87584046,-76.99908601,Apartment,Entire home/apt,6,2,2,3,0,249,1250,4000,0,59,6,75,2,180,0,30,60,150,0,,,0,0,0,0,0,0,0,0
7860122,41426628,Leslie,8/13/15,1,1,1,"Near Southeast, Navy Yard",DC,20003,38.88045027,-77.00651487,Apartment,Entire home/apt,2,1,1,1,0,88,524,1848,200,35,1,0,3,1125,1,1,1,25,1,9/23/15,9/23/15,100,8,10,10,10,8,10,1
7973954,42082413,Zachary,8/21/15,1,1,1,"Near Southeast, Navy Yard",DC,20003,38.87869082,-77.00537827,Apartment,Private room,2,1,1,1,0,90,500,0,95,10,1,0,1,1125,0,0,0,0,2,9/9/15,9/14/15,100,10,10,10,10,10,10,2
8503615,44777359,Candice,9/21/15,0.9,1,1,"Near Southeast, Navy Yard",DC,20003,38.87744971,-77.00571269,Apartment,Entire home/apt,2,1,0,1,0,150,600,2500,0,0,1,0,1,1125,7,23,50,325,0,,,0,0,0,0,0,0,0,0
